model,query_id,query,score,reason,latency_ms,prompt_tokens,completion_tokens,total_tokens,oracle_result,model_result
mistral-nemo:12b,Q017,Q17. Show AL links under 10 km and return a table (no plot).,1,missing_plot_and_value,1723.28,,,,"{""value"": ""TOPOLOGY_READY""}","{""count"": 0}"
mistral-nemo:12b,Q018,Q18. Calculate the average ML link distance in km.,1,missing_plot_and_value,1230.12,,,,"{""value"": ""TOPOLOGY_READY""}","{""value"": 0, ""note"": ""No ML links found in the CSV topology.""}"
mistral-nemo:12b,Q019,Q19. Calculate the average AL link distance in km.,1,missing_plot_and_value,945.94,,,,"{""value"": ""TOPOLOGY_READY""}","{""value"": 70.06410000000001}"
mistral-nemo:12b,Q020,Q20. Find the maximum ML link distance and plot only that edge highlighted.,1,no_plot_ok,1129.86,,,,"{""value"": ""TOPOLOGY_READY""}","{""value"": 0, ""note"": ""No ML links found in the CSV topology.""}"
mistral-nemo:12b,Q021,"Q21. Return the 5 longest links in the topology with endpoints, link_id, and distance_km.",0,no_json_or_error,1421.53,,,,"{""value"": ""TOPOLOGY_READY""}","{""error"": ""NO_PATH"", ""message"": ""No path found between None and None.""}"
mistral-nemo:12b,Q022,Q22. Deploy network equipment and then show a summary table for node equipment (no plot).,1,no_plot_ok,1096.48,,,,"{""value"": ""TOPOLOGY_READY""}","{""value"": ""EQUIPMENT_READY""}"
mistral-nemo:12b,Q023,"Q23. After deploying equipment, how many ROADMs were placed in total?",1,no_plot_ok,1665.42,,,,"{""value"": ""TOPOLOGY_READY""}","{""value"": 0}"
mistral-nemo:12b,Q024,"Q24. After deploying equipment, how many TRx elements were placed in total?",1,no_plot_ok,970.5,,,,"{""value"": ""TOPOLOGY_READY""}","{""value"": 0}"
mistral-nemo:12b,Q025,"Q25. After deploying equipment, count the total number of ILAs across all links.",1,no_plot_ok,971.61,,,,"{""value"": ""TOPOLOGY_READY""}","{""value"": 61}"
mistral-nemo:12b,Q026,"Q26. After deploying equipment, list all links that have an ILA deployed (link endpoints and equipment list).",1,no_plot_ok,1183.89,,,,"{""value"": ""TOPOLOGY_READY""}","{""count"": 0}"
mistral-nemo:12b,Q027,"Q27. After deploying equipment, list all links that have a PreAmp deployed (link endpoints and equipment list).",1,no_plot_ok,1364.83,,,,"{""value"": ""TOPOLOGY_READY""}","{""count"": 0}"
mistral-nemo:12b,Q028,"Q28. After deploying equipment, list all links that have an Amp deployed (link endpoints and equipment list).",1,no_plot_ok,978.72,,,,"{""value"": ""TOPOLOGY_READY""}","{""count"": 0}"
mistral-nemo:12b,Q029,Q29. Propagation delay from Berlin to Munich.,1,no_plot_ok,1062.35,,,,"{""value"": ""TOPOLOGY_READY""}","{""path"": [""Berlin"", ""Berlin_Leipzig_01"", ""Leipzig"", ""Leipzig_Nuremberg_01"", ""Leipzig_Nuremberg_02"", ""Nuremberg"", ""Munich_Nuremberg_01"", ""Munich""], ""hop_count"": 7, ""total_distance_km"": 527.525, ""propagation_delay_ms"": 2.583143}"
mistral-nemo:12b,Q030,Q30. Which fiber type gives the minimum propagation delay from Berlin to Stuttgart?,0.5,plot_without_edge_labels_flag,1717.7,,,,"{""value"": ""TOPOLOGY_READY""}","{""path"": [""Berlin"", ""Berlin_Leipzig_01"", ""Leipzig"", ""Leipzig_Nuremberg_01"", ""Leipzig_Nuremberg_02"", ""Nuremberg"", ""Nuremberg_Stuttgart_01"", ""Stuttgart""], ""hop_count"": 7, ""total_distance_km"": 534.401}"
mistral-nemo:12b,Q031,"Q31. If we have to deploy HCF on only 2 links in the topology, what are the best links to minimize propagation delay?",1,missing_plot,1775.05,,,,"{""value"": ""TOPOLOGY_READY""}","{""k"": 2, ""recommended_links"": [{""u"": ""Hanover"", ""v"": ""Dortmund_Hanover_02"", ""link_id"": ""AL34"", ""distance_km"": 91.627, ""type"": ""AL""}, {""u"": ""Hanover"", ""v"": ""Dortmund_Hanover_01"", ""link_id"": ""AL32"", ""distance_km"": 91.627, ""type"": ""AL""}], ""note"": ""Heuristic: upgrade the longest-distance links to HCF for maximum delay reduction (uniform traffic assumption).""}"
mistral-nemo:12b,Q032,"Q32. From Berlin to Stuttgart, what possible route has the minimum number of ILAs?",0,missing_plot,1968.83,,,,"{""value"": ""TOPOLOGY_READY""}","{""path"": [""Berlin"", ""Berlin_Leipzig_01"", ""Leipzig"", ""Leipzig_Nuremberg_01"", ""Leipzig_Nuremberg_02"", ""Nuremberg"", ""Nuremberg_Stuttgart_01"", ""Stuttgart""], ""hop_count"": 7, ""total_distance_km"": 534.401}"
mistral-nemo:12b,Q033,"Q33. From Berlin to Stuttgart, which links have ILAs ≥ 4? List all possible paths that include such links",0.5,plot_without_edge_labels_flag,2276.68,,,,"{""value"": ""TOPOLOGY_READY""}","{""path"": [""Berlin"", ""Berlin_Hanover_01"", ""Berlin_Hanover_02"", ""Hanover"", ""Frankfurt_Hanover_03"", ""Frankfurt_Hanover_02"", ""Frankfurt_Hanover_01"", ""Frankfurt"", ""Mannheim"", ""Karlsruhe"", ""Stuttgart""], ""total_ilas"": 4, ""hop_count"": 10, ""total_distance_km"": 698.33}"
gemma2:9b,Q001,Q1. Create a topology from CSV files and visualize the full network topology.,1,plot+value,9455.98,,,,"{""value"": ""TOPOLOGY_READY""}","{""value"": ""TOPOLOGY_READY""}"
gemma2:9b,Q002,Q2. Create a topology from CSV files (no visualization).,1,no_plot_ok,921.7,,,,"{""value"": ""TOPOLOGY_READY""}","{""value"": ""TOPOLOGY_READY""}"
gemma2:9b,Q003,Q3. Draw the network topology from the CSV files and label each link with its distance.,1,edge_labels_on,2665.9,,,,"{""value"": ""TOPOLOGY_READY""}","{""value"": ""TOPOLOGY_READY""}"
gemma2:9b,Q004,Q4. Find the shortest path from Berlin to Munich and plot that path only.,1,path+hops+distance,1894.2,,,,"{""path"": [""Berlin"", ""Berlin_Leipzig_01"", ""Leipzig"", ""Leipzig_Nuremberg_01"", ""Leipzig_Nuremberg_02"", ""Nuremberg"", ""Munich_Nuremberg_01"", ""Munich""], ""hop_count"": 7, ""total_distance_km"": 527.525}","{""path"": [""Berlin"", ""Berlin_Leipzig_01"", ""Leipzig"", ""Leipzig_Nuremberg_01"", ""Leipzig_Nuremberg_02"", ""Nuremberg"", ""Munich_Nuremberg_01"", ""Munich""], ""hop_count"": 7, ""total_distance_km"": 527.525}"
gemma2:9b,Q005,Q5. Draw the shortest path from Berlin to Stuttgart and plot that path only.,1,path+hops+distance,1263.5,,,,"{""path"": [""Berlin"", ""Berlin_Leipzig_01"", ""Leipzig"", ""Leipzig_Nuremberg_01"", ""Leipzig_Nuremberg_02"", ""Nuremberg"", ""Nuremberg_Stuttgart_01"", ""Stuttgart""], ""hop_count"": 7, ""total_distance_km"": 534.401}","{""path"": [""Berlin"", ""Berlin_Leipzig_01"", ""Leipzig"", ""Leipzig_Nuremberg_01"", ""Leipzig_Nuremberg_02"", ""Nuremberg"", ""Nuremberg_Stuttgart_01"", ""Stuttgart""], ""hop_count"": 7, ""total_distance_km"": 534.401}"
gemma2:9b,Q006,Q6. Show the longest path from Berlin to Stuttgart by total distance and return hop count and total distance.,1,correct_longest,1599.19,,,,"{""path"": [""Berlin"", ""Berlin_Hanover_01"", ""Berlin_Hanover_02"", ""Hanover"", ""Hanover_Leipzig_01"", ""Hanover_Leipzig_02"", ""Leipzig"", ""Leipzig_Nuremberg_01"", ""Leipzig_Nuremberg_02"", ""Nuremberg"", ""Munich_Nuremberg_01"", ""Munich"", ""Munich_Ulm_01"", ""Ulm"", ""Stuttgart""], ""hop_count"": 14, ""total_distance_km"": 1038.677, ""max_hops"": 14}","{""path"": [""Berlin"", ""Berlin_Hanover_01"", ""Berlin_Hanover_02"", ""Hanover"", ""Hanover_Leipzig_01"", ""Hanover_Leipzig_02"", ""Leipzig"", ""Leipzig_Nuremberg_01"", ""Leipzig_Nuremberg_02"", ""Nuremberg"", ""Munich_Nuremberg_01"", ""Munich"", ""Munich_Ulm_01"", ""Ulm"", ""Stuttgart""], ""hop_count"": 14, ""total_distance_km"": 1038.677, ""max_hops"": 14, ""note"": ""Longest path computed among simple paths with hop_count <= max_hops.""}"
gemma2:9b,Q007,"Q7. Among all paths between Berlin and Stuttgart, which path has the fewest hops? Return the path and hop count.",1,correct_fewest_hops,1314.65,,,,"{""path"": [""Berlin"", ""Berlin_Leipzig_01"", ""Leipzig"", ""Leipzig_Nuremberg_01"", ""Leipzig_Nuremberg_02"", ""Nuremberg"", ""Nuremberg_Stuttgart_01"", ""Stuttgart""], ""hop_count"": 7}","{""path"": [""Berlin"", ""Berlin_Leipzig_01"", ""Leipzig"", ""Leipzig_Nuremberg_01"", ""Leipzig_Nuremberg_02"", ""Nuremberg"", ""Nuremberg_Stuttgart_01"", ""Stuttgart""], ""hop_count"": 7}"
gemma2:9b,Q008,Q8. Which node has the highest degree in the current topology? Return the node id and degree.,0,wrong_degree_node,1832.39,,,,"{""node_id"": ""Hanover"", ""degree"": 12}","{""value"": ""TOPOLOGY_READY""}"
gemma2:9b,Q009,Q9. Which node has the lowest degree in the current topology? Return the node id and degree.,0,wrong_degree_node,1614.53,,,,"{""node_id"": ""Berlin_Hamburg_01"", ""degree"": 2}","{""value"": ""TOPOLOGY_READY""}"
gemma2:9b,Q010,"Q10. Compute the average node degree, the minimum degree, and the maximum degree.",1,missing_plot_and_value,1733.05,,,,"{""value"": ""TOPOLOGY_READY""}","{""average_degree"": 2.73972602739726, ""min_degree"": 2, ""max_degree"": 12}"
gemma2:9b,Q011,Q11. Count how many nodes have degree 1.,1,missing_plot_and_value,1661.22,,,,"{""value"": ""TOPOLOGY_READY""}","{""value"": 0}"
gemma2:9b,Q012,Q12. Count how many nodes have degree ≥ 3.,0,missing_plot_and_value,1789.62,,,,"{""value"": ""TOPOLOGY_READY""}","{""value"": 13}"
gemma2:9b,Q013,Q13. Is there any isolated node (degree 0)? Return true or false.,0.5,partial_plot_or_value,1528.21,,,,"{""value"": ""TOPOLOGY_READY""}","{""value"": ""TOPOLOGY_READY""}"
gemma2:9b,Q014,Q14. Find the top 3 nodes by degree and return them in descending order.,1,missing_plot_and_value,1826.05,,,,"{""value"": ""TOPOLOGY_READY""}","{""top3"": [{""node_id"": ""Hanover"", ""degree"": 12}, {""node_id"": ""Frankfurt"", ""degree"": 9}, {""node_id"": ""Leipzig"", ""degree"": 8}]}"
gemma2:9b,Q015,Q15. Compute the average shortest-path length of the topology in hops.,1,no_json_or_error,1553.29,,,,"{""value"": ""TOPOLOGY_READY""}","{""error"": ""NO_PATH"", ""message"": ""No path found between None and None.""}"
gemma2:9b,Q016,Q16. Show ML links under 5 km and return a table (no plot).,1,missing_plot_and_value,1789.26,,,,"{""value"": ""TOPOLOGY_READY""}","{""count"": 0}"
gemma2:9b,Q017,Q17. Show AL links under 10 km and return a table (no plot).,1,missing_plot_and_value,1467.82,,,,"{""value"": ""TOPOLOGY_READY""}","{""count"": 0}"
gemma2:9b,Q018,Q18. Calculate the average ML link distance in km.,1,missing_plot_and_value,1726.02,,,,"{""value"": ""TOPOLOGY_READY""}","{""value"": 0, ""note"": ""No ML links found in the CSV topology.""}"
gemma2:9b,Q019,Q19. Calculate the average AL link distance in km.,1,missing_plot_and_value,1547.95,,,,"{""value"": ""TOPOLOGY_READY""}","{""value"": 70.06410000000001}"
gemma2:9b,Q020,Q20. Find the maximum ML link distance and plot only that edge highlighted.,1,no_plot_ok,1760.71,,,,"{""value"": ""TOPOLOGY_READY""}","{""value"": 0, ""note"": ""No ML links found in the CSV topology.""}"
gemma2:9b,Q021,"Q21. Return the 5 longest links in the topology with endpoints, link_id, and distance_km.",1,no_plot_ok,1610.27,,,,"{""value"": ""TOPOLOGY_READY""}","{""k"": 5, ""links"": [{""u"": ""Hanover"", ""v"": ""Dortmund_Hanover_02"", ""link_id"": ""AL34"", ""distance_km"": 91.627, ""type"": ""AL""}, {""u"": ""Hanover"", ""v"": ""Dortmund_Hanover_01"", ""link_id"": ""AL32"", ""distance_km"": 91.627, ""type"": ""AL""}, {""u"": ""Dortmund"", ""v"": ""Dortmund_Hanover_01"", ""link_id"": ""AL31"", ""distance_km"": 91.627, ""type"": ""AL""}, {""u"": ""Dortmund"", ""v"": ""Dortmund_Hanover_02"", ""link_id"": ""AL33"", ""distance_km"": 91.627, ""type"": ""AL""}, {""u"": ""Hamburg"", ""v"": ""Berlin_Hamburg_04"", ""link_id"": ""AL6"", ""distance_km"": 85.004, ""type"": ""AL""}]}"
gemma2:9b,Q022,Q22. Deploy network equipment and then show a summary table for node equipment (no plot).,1,no_plot_ok,1783.44,,,,"{""value"": ""TOPOLOGY_READY""}","{""value"": ""EQUIPMENT_READY""}"
gemma2:9b,Q023,"Q23. After deploying equipment, how many ROADMs were placed in total?",1,no_plot_ok,1519.22,,,,"{""value"": ""TOPOLOGY_READY""}","{""value"": 0}"
gemma2:9b,Q024,"Q24. After deploying equipment, how many TRx elements were placed in total?",1,no_plot_ok,1745.24,,,,"{""value"": ""TOPOLOGY_READY""}","{""value"": 0}"
gemma2:9b,Q025,"Q25. After deploying equipment, count the total number of ILAs across all links.",0,no_json_or_error,1547.38,,,,"{""value"": ""TOPOLOGY_READY""}","{""error"": ""NO_PATH""}"
gemma2:9b,Q026,"Q26. After deploying equipment, list all links that have an ILA deployed (link endpoints and equipment list).",1,no_plot_ok,1676.28,,,,"{""value"": ""TOPOLOGY_READY""}","{""count"": 0}"
gemma2:9b,Q027,"Q27. After deploying equipment, list all links that have a PreAmp deployed (link endpoints and equipment list).",1,no_plot_ok,1508.09,,,,"{""value"": ""TOPOLOGY_READY""}","{""count"": 0}"
gemma2:9b,Q028,"Q28. After deploying equipment, list all links that have an Amp deployed (link endpoints and equipment list).",1,no_plot_ok,1673.25,,,,"{""value"": ""TOPOLOGY_READY""}","{""count"": 0}"
gemma2:9b,Q029,Q29. Propagation delay from Berlin to Munich.,1,no_plot_ok,1132.53,,,,"{""value"": ""TOPOLOGY_READY""}","{""path"": [""Berlin"", ""Berlin_Leipzig_01"", ""Leipzig"", ""Leipzig_Nuremberg_01"", ""Leipzig_Nuremberg_02"", ""Nuremberg"", ""Munich_Nuremberg_01"", ""Munich""], ""hop_count"": 7, ""total_distance_km"": 527.525, ""propagation_delay_ms"": 2.583143}"
gemma2:9b,Q030,Q30. Which fiber type gives the minimum propagation delay from Berlin to Stuttgart?,0.5,plot_without_edge_labels_flag,1456.39,,,,"{""value"": ""TOPOLOGY_READY""}","{""path"": [""Berlin"", ""Berlin_Leipzig_01"", ""Leipzig"", ""Leipzig_Nuremberg_01"", ""Leipzig_Nuremberg_02"", ""Nuremberg"", ""Nuremberg_Stuttgart_01"", ""Stuttgart""], ""hop_count"": 7, ""total_distance_km"": 534.401, ""propagation_delay_ms"": 2.616813}"
gemma2:9b,Q031,"Q31. If we have to deploy HCF on only 2 links in the topology, what are the best links to minimize propagation delay?",1,missing_plot,1479.09,,,,"{""value"": ""TOPOLOGY_READY""}","{""k"": 2, ""recommended_links"": [{""u"": ""Hanover"", ""v"": ""Dortmund_Hanover_02"", ""link_id"": ""AL34"", ""distance_km"": 91.627, ""type"": ""AL""}, {""u"": ""Hanover"", ""v"": ""Dortmund_Hanover_01"", ""link_id"": ""AL32"", ""distance_km"": 91.627, ""type"": ""AL""}], ""note"": ""Heuristic: upgrade the longest-distance links to HCF for maximum delay reduction (uniform traffic assumption).""}"
gemma2:9b,Q032,"Q32. From Berlin to Stuttgart, what possible route has the minimum number of ILAs?",0.5,plot_without_edge_labels_flag,1201.97,,,,"{""value"": ""TOPOLOGY_READY""}","{""path"": [""Berlin"", ""Berlin_Hanover_01"", ""Berlin_Hanover_02"", ""Hanover"", ""Frankfurt_Hanover_03"", ""Frankfurt_Hanover_02"", ""Frankfurt_Hanover_01"", ""Frankfurt"", ""Mannheim"", ""Karlsruhe"", ""Stuttgart""], ""total_ilas"": 4, ""hop_count"": 10, ""total_distance_km"": 698.33}"
gemma2:9b,Q033,"Q33. From Berlin to Stuttgart, which links have ILAs ≥ 4? List all possible paths that include such links",1,missing_plot,1230.69,,,,"{""value"": ""TOPOLOGY_READY""}","{""src"": ""Berlin"", ""dst"": ""Stuttgart"", ""threshold"": 4, ""max_hops"": 12, ""count"": 0, ""paths"": []}"
